timestamp;posX;posY;posZ;rotW;rotX;rotY;rotZ;controllerLeftPosX;controllerLeftPosY;controllerLeftPosZ;controllerLeftRotW;controllerLeftRotX;controllerLeftRotY;controllerLeftRotZ;controllerRightPosX;controllerRightPosY;controllerRightPosZ;controllerRightRotW;controllerRightRotX;controllerRightRotY;controllerRightRotZ;
75.620;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
75.675;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
75.727;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
75.779;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
75.831;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
75.881;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
75.934;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
75.985;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
76.036;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
76.090;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
76.141;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;-1.493;1.600;1.342;-0.485;0.000;-0.875;0.000;
76.199;-1.486;1.600;1.338;-0.485;0.000;-0.875;0.000;-1.486;1.600;1.338;-0.485;0.000;-0.875;0.000;-1.486;1.600;1.338;-0.485;0.000;-0.875;0.000;
