timestamp;posX;posY;posZ;rotW;rotX;rotY;rotZ;controllerLeftPosX;controllerLeftPosY;controllerLeftPosZ;controllerLeftRotW;controllerLeftRotX;controllerLeftRotY;controllerLeftRotZ;controllerRightPosX;controllerRightPosY;controllerRightPosZ;controllerRightRotW;controllerRightRotX;controllerRightRotY;controllerRightRotZ;
43.723;0.345;1.600;-0.392;0.500;0.000;0.866;0.000;0.345;1.600;-0.392;0.500;0.000;0.866;0.000;0.345;1.600;-0.392;0.500;0.000;0.866;0.000;
43.776;0.445;1.600;-0.369;0.500;0.000;0.866;0.000;0.445;1.600;-0.369;0.500;0.000;0.866;0.000;0.445;1.600;-0.369;0.500;0.000;0.866;0.000;
43.826;0.547;1.600;-0.346;0.454;0.000;0.891;0.000;0.547;1.600;-0.346;0.454;0.000;0.891;0.000;0.547;1.600;-0.346;0.454;0.000;0.891;0.000;
43.882;0.617;1.600;-0.336;0.423;0.000;0.906;0.000;0.617;1.600;-0.336;0.423;0.000;0.906;0.000;0.617;1.600;-0.336;0.423;0.000;0.906;0.000;
43.932;0.723;1.600;-0.331;0.375;0.000;0.927;0.000;0.723;1.600;-0.331;0.375;0.000;0.927;0.000;0.723;1.600;-0.331;0.375;0.000;0.927;0.000;
43.983;0.794;1.600;-0.333;0.342;0.000;0.940;0.000;0.794;1.600;-0.333;0.342;0.000;0.940;0.000;0.794;1.600;-0.333;0.342;0.000;0.940;0.000;
44.035;0.899;1.600;-0.346;0.292;0.000;0.956;0.000;0.899;1.600;-0.346;0.292;0.000;0.956;0.000;0.899;1.600;-0.346;0.292;0.000;0.956;0.000;
44.087;1.002;1.600;-0.370;0.242;0.000;0.970;0.000;1.002;1.600;-0.370;0.242;0.000;0.970;0.000;1.002;1.600;-0.370;0.242;0.000;0.970;0.000;
44.138;1.070;1.600;-0.392;0.208;0.000;0.978;0.000;1.070;1.600;-0.392;0.208;0.000;0.978;0.000;1.070;1.600;-0.392;0.208;0.000;0.978;0.000;
44.193;1.167;1.600;-0.433;0.156;0.000;0.988;0.000;1.167;1.600;-0.433;0.156;0.000;0.988;0.000;1.167;1.600;-0.433;0.156;0.000;0.988;0.000;
44.243;1.230;1.600;-0.466;0.122;0.000;0.993;0.000;1.230;1.600;-0.466;0.122;0.000;0.993;0.000;1.230;1.600;-0.466;0.122;0.000;0.993;0.000;
44.297;1.319;1.600;-0.524;0.070;0.000;0.998;0.000;1.319;1.600;-0.524;0.070;0.000;0.998;0.000;1.319;1.600;-0.524;0.070;0.000;0.998;0.000;
44.348;1.401;1.600;-0.591;0.017;0.000;1.000;0.000;1.401;1.600;-0.591;0.017;0.000;1.000;0.000;1.401;1.600;-0.591;0.017;0.000;1.000;0.000;
44.402;1.452;1.600;-0.640;-0.017;0.000;1.000;0.000;1.452;1.600;-0.640;-0.017;0.000;1.000;0.000;1.452;1.600;-0.640;-0.017;0.000;1.000;0.000;
44.454;1.521;1.600;-0.720;-0.070;0.000;0.998;0.000;1.521;1.600;-0.720;-0.070;0.000;0.998;0.000;1.521;1.600;-0.720;-0.070;0.000;0.998;0.000;
44.509;1.582;1.600;-0.807;-0.122;0.000;0.993;0.000;1.582;1.600;-0.807;-0.122;0.000;0.993;0.000;1.582;1.600;-0.807;-0.122;0.000;0.993;0.000;
44.561;1.618;1.600;-0.868;-0.156;0.000;0.988;0.000;1.618;1.600;-0.868;-0.156;0.000;0.988;0.000;1.618;1.600;-0.868;-0.156;0.000;0.988;0.000;
44.614;1.662;1.600;-0.964;-0.208;0.000;0.978;0.000;1.662;1.600;-0.964;-0.208;0.000;0.978;0.000;1.662;1.600;-0.964;-0.208;0.000;0.978;0.000;
44.667;1.697;1.600;-1.063;-0.259;0.000;0.966;0.000;1.697;1.600;-1.063;-0.259;0.000;0.966;0.000;1.697;1.600;-1.063;-0.259;0.000;0.966;0.000;
44.718;1.718;1.600;-1.126;-0.292;0.000;0.956;0.000;1.718;1.600;-1.126;-0.292;0.000;0.956;0.000;1.718;1.600;-1.126;-0.292;0.000;0.956;0.000;
44.769;1.748;1.600;-1.213;-0.342;0.000;0.940;0.000;1.748;1.600;-1.213;-0.342;0.000;0.940;0.000;1.748;1.600;-1.213;-0.342;0.000;0.940;0.000;
44.820;1.767;1.600;-1.267;-0.375;0.000;0.927;0.000;1.767;1.600;-1.267;-0.375;0.000;0.927;0.000;1.767;1.600;-1.267;-0.375;0.000;0.927;0.000;
44.873;1.797;1.600;-1.342;-0.423;0.000;0.906;0.000;1.797;1.600;-1.342;-0.423;0.000;0.906;0.000;1.797;1.600;-1.342;-0.423;0.000;0.906;0.000;
44.926;1.830;1.600;-1.412;-0.469;0.000;0.883;0.000;1.830;1.600;-1.412;-0.469;0.000;0.883;0.000;1.830;1.600;-1.412;-0.469;0.000;0.883;0.000;
44.979;1.854;1.600;-1.456;-0.500;0.000;0.866;0.000;1.854;1.600;-1.456;-0.500;0.000;0.866;0.000;1.854;1.600;-1.456;-0.500;0.000;0.866;0.000;
45.030;1.890;1.600;-1.522;-0.545;0.000;0.839;0.000;1.890;1.600;-1.522;-0.545;0.000;0.839;0.000;1.890;1.600;-1.522;-0.545;0.000;0.839;0.000;
45.084;1.915;1.600;-1.566;-0.574;0.000;0.819;0.000;1.915;1.600;-1.566;-0.574;0.000;0.819;0.000;1.915;1.600;-1.566;-0.574;0.000;0.819;0.000;
45.136;1.957;1.600;-1.631;-0.616;0.000;0.788;0.000;1.957;1.600;-1.631;-0.616;0.000;0.788;0.000;1.957;1.600;-1.631;-0.616;0.000;0.788;0.000;
45.188;2.006;1.600;-1.697;-0.656;0.000;0.755;0.000;2.006;1.600;-1.697;-0.656;0.000;0.755;0.000;2.006;1.600;-1.697;-0.656;0.000;0.755;0.000;
45.238;2.042;1.600;-1.743;-0.682;0.000;0.731;0.000;2.042;1.600;-1.743;-0.682;0.000;0.731;0.000;2.042;1.600;-1.743;-0.682;0.000;0.731;0.000;
45.289;2.101;1.600;-1.816;-0.719;0.000;0.695;0.000;2.101;1.600;-1.816;-0.719;0.000;0.695;0.000;2.101;1.600;-1.816;-0.719;0.000;0.695;0.000;
45.342;2.143;1.600;-1.869;-0.743;0.000;0.669;0.000;2.143;1.600;-1.869;-0.743;0.000;0.669;0.000;2.143;1.600;-1.869;-0.743;0.000;0.669;0.000;
45.394;2.207;1.600;-1.953;-0.777;0.000;0.629;0.000;2.207;1.600;-1.953;-0.777;0.000;0.629;0.000;2.207;1.600;-1.953;-0.777;0.000;0.629;0.000;
45.446;2.244;1.600;-2.013;-0.799;0.000;0.602;0.000;2.244;1.600;-2.013;-0.799;0.000;0.602;0.000;2.244;1.600;-2.013;-0.799;0.000;0.602;0.000;
