timestamp;object;posX;posY;posZ;rotW;rotX;rotY;rotZ
98.228;obstacle;1.242;1.200;-1.361;0.407;0.000;0.914;0.000
98.248;obstacle;1.270;1.200;-1.368;0.407;0.000;0.914;0.000
98.328;obstacle;1.372;1.200;-1.404;0.407;0.000;0.914;0.000
98.389;obstacle;1.438;1.200;-1.443;0.407;0.000;0.914;0.000
98.406;obstacle;1.458;1.200;-1.458;0.407;0.000;0.914;0.000
98.589;obstacle;1.625;1.200;-1.608;0.407;0.000;0.914;0.000
98.628;obstacle;1.663;1.200;-1.642;0.407;0.000;0.914;0.000
98.646;obstacle;1.681;1.200;-1.658;0.407;0.000;0.914;0.000
98.849;obstacle;1.867;1.200;-1.826;0.407;0.000;0.914;0.000
